티커,자산군,방향,유닛(m),진입일,진입가,현재가,현재스톱,스톱여유%,미실현%,R배수,명목비중%,매칭비중%
DBC,원자재,롱,2.0,2025-12-29,22.49,29.48,26.72,9.4,31.1,23.95,95.4,35.0
DBA,원자재,롱,2.0,2026-03-20,26.85,27.25,26.81,1.6,1.5,0.71,76.3,28.0
SPY,주식,롱,2.0,2026-04-16,701.66,756.48,692.22,8.5,7.8,2.42,53.1,19.5
QQQ,주식,롱,2.0,2026-04-16,640.47,738.31,646.1,12.5,15.3,3.58,43.1,15.8
USO,원자재,롱,2.0,2026-02-20,80.85,129.09,110.03,14.8,59.7,11.59,39.8,14.6
UUP,통화,롱,1.0,2026-03-13,27.89,27.66,27.23,1.5,-0.8,-0.35,34.5,12.7
EWY,주식,롱,2.0,2025-05-28,59.42,205.83,147.1,28.5,246.4,35.5,22.6,8.3
EEM,주식,롱,1.0,2026-05-07,66.59,68.6,62.81,8.4,3.0,0.53,16.9,6.2
DBB,원자재,롱,1.0,2026-05-13,26.26,25.97,24.53,5.5,-1.1,-0.17,15.7,5.8
IWM,주식,롱,1.0,2026-04-20,277.35,290.43,265.71,8.5,4.7,0.89,15.3,5.6
