N,p,lag,cap,K,short,scheme,CAGR,vol,Sharpe,MDD,Calmar
210,0.2,0,3,1,0.0,LP,0.3048852978995047,0.4637870357905137,0.8074485728036604,-0.640590520387559,0.47594412998033164
210,0.2,0,2,1,0.0,LP,0.24754520250653167,0.35725230925340296,0.7989491728870624,-0.5258217244463252,0.4707778149850873
210,0.2,0,4,1,0.0,LP,0.33291563500325605,0.5531262609501311,0.7984640339475104,-0.7373157187772321,0.4515238540626326
189,0.2,1,4,1,0.0,LP,0.3352092605024497,0.7001977018498327,0.7816807161130642,-0.7860691061825771,0.4264373931833317
189,0.4,2,2,1,0.0,LP,0.18215861670701416,0.2571284104747702,0.7801225307092112,-0.36506372720129265,0.49897758427961714
210,0.2,0,3,1,0.0,HLP,0.27421607524537883,0.4372613703406868,0.7739622977483178,-0.640590520387559,0.4280676446468133
210,0.2,0,4,1,0.0,HLP,0.3040495456461181,0.5235748246062267,0.7705000788301913,-0.7373157187772321,0.4123736113348503
231,0.2,0,3,1,0.0,LP,0.2800390143314586,0.462185967562409,0.7670563827469483,-0.6193245454628746,0.4521684412203642
126,0.4,0,3,1,0.0,LP,0.20235389509474788,0.3014980772752843,0.763279282244461,-0.40046276478861864,0.505300149944175
189,0.2,1,3,1,0.0,LP,0.3059120221263387,0.5731392646574918,0.7611770228607582,-0.7062307107405462,0.4331615964499229
231,0.2,0,2,1,0.0,LP,0.229591517801641,0.35563407202999103,0.7601676969595604,-0.5000759322893782,0.4591133125534696
231,0.2,0,4,1,0.0,LP,0.30310182949213105,0.552057202483686,0.7580081364912629,-0.7197409658951953,0.4211262716095933
210,0.4,1,2,1,0.0,LP,0.1633179669066107,0.2370678259883269,0.7574179428854073,-0.3547513036175364,0.46037312686717197
189,0.2,0,2,1,0.0,LP,0.22934040203159523,0.3604759024882074,0.7545427959468688,-0.5366074576298234,0.42738951680728376
189,0.2,0,3,1,0.0,LP,0.27596934978652077,0.47225549486878265,0.7543654379749853,-0.6076052496534269,0.4541918456825899
126,0.4,0,2,1,0.0,LP,0.16489205827802622,0.24127728313486962,0.7541110370240343,-0.33514553238502165,0.4920013616311467
210,0.2,0,2,2,0.0,LP,0.22124199076892026,0.34550245050710277,0.7524010068031156,-0.549653060376929,0.40251206937190853
210,0.4,2,2,1,0.0,LP,0.17130144966559135,0.25310330558932914,0.7521327061442685,-0.385025760309341,0.4449090614819194
189,0.2,0,4,1,0.0,LP,0.29835539776881825,0.55959791236258,0.7496951663640081,-0.7034331648533731,0.4241417844309471
126,0.4,0,2,2,0.0,LP,0.15168064437313222,0.22139483429233142,0.7495353951026036,-0.3123165440429716,0.4856631749622028
189,0.3,1,3,1,0.0,LP,0.24046932333265958,0.39124497679476483,0.7480372829321952,-0.5150840840654937,0.46685450156926916
189,0.4,1,2,1,0.0,LP,0.1615989242915885,0.2387203532933048,0.7477745245937385,-0.36736873589353747,0.43988208168704773
273,0.3,2,2,1,0.0,LP,0.19198769975409458,0.2928731085893471,0.7471211440970046,-0.4976658813867235,0.38577629476854935
126,0.2,0,4,1,0.0,LP,0.3033403634769787,0.599712462571403,0.7447280435395237,-0.7651620110124393,0.39643939337187933
126,0.4,0,3,2,0.0,LP,0.17373885800057165,0.2615926074272535,0.7445080002478536,-0.38104052903107244,0.45595899848859356
210,0.2,0,2,1,0.0,HLP,0.21519886655539233,0.3401703551186581,0.7439304291156906,-0.5258217244463252,0.4092620303620783
189,0.3,0,2,1,0.0,LP,0.180662696315796,0.2741035507605153,0.7439252719571896,-0.4274344438318597,0.42266761353201443
210,0.3,0,2,1,0.0,LP,0.17907713199639796,0.27159663869937795,0.7431876931518056,-0.44214134405469097,0.40502236310714
126,0.4,0,4,1,0.0,LP,0.21765920990949028,0.3470710206307473,0.7427063250534753,-0.45170215431350236,0.48186444946291895
147,0.4,1,2,2,0.0,LP,0.15263672749345947,0.22644296220361332,0.7415719972550693,-0.3642266819022171,0.41907069162614896
189,0.4,2,3,1,0.0,LP,0.21046865330650033,0.33382492426316457,0.740222037546719,-0.48238215331860923,0.43631102821394724
189,0.2,1,2,1,0.0,LP,0.25196791286278253,0.43276450551009066,0.7395695856225591,-0.5822498565609724,0.4327487761886581
189,0.3,1,2,1,0.0,LP,0.19449644954236178,0.3042357223329757,0.7373818787619003,-0.43870071772432373,0.44334654967348813
126,0.4,0,2,4,0.0,LP,0.1334141667894888,0.19757945336908728,0.7335510203841079,-0.31525600494486883,0.42319310242106234
210,0.2,2,4,1,0.0,LP,0.30362351740647475,0.6826560630082743,0.7331989409217934,-0.8227480545012521,0.36903583757549036
315,0.3,2,2,1,0.0,LP,0.18090181012225903,0.2823357661624347,0.7312063401923672,-0.46182023770264957,0.391714774177427
315,0.3,1,2,1,0.0,LP,0.18208291182623393,0.2846722412282576,0.731048093537369,-0.4793171542397484,0.3798798148900766
252,0.2,0,2,1,0.0,LP,0.2207356104132454,0.36542692854323394,0.7298163140072618,-0.5657703476142979,0.3901505466732719
189,0.3,0,3,1,0.0,LP,0.2149746992436019,0.3531813660739549,0.7293520298738299,-0.5217951876387024,0.41199057472422135
210,0.3,0,3,1,0.0,LP,0.21398302349493603,0.3511795378012948,0.7290140995769856,-0.5579224452806302,0.38353542737880786
